iteration,eval_mean_reward,eval_std_reward,eval_mean_pegs_left,greedy_reward,greedy_pegs_left,timestamp
66,0.7909677419354832,0.0532951649756474,7.48,0.8387096774193543,6.0,2026-04-14T21:02:02.469822
67,0.7993548387096767,0.054089762370898485,7.22,0.8387096774193543,6.0,2026-04-14T21:02:03.794211
68,0.7948387096774188,0.06411488128415398,7.36,0.8387096774193543,6.0,2026-04-14T21:02:05.064746
69,0.7851612903225801,0.05572714857634048,7.66,0.8387096774193543,6.0,2026-04-14T21:02:06.330829
70,0.788387096774193,0.052871745157542865,7.56,0.8387096774193543,6.0,2026-04-14T21:02:07.711745
71,0.792903225806451,0.06389702954766835,7.42,0.8387096774193543,6.0,2026-04-14T21:02:09.011004
72,0.7774193548387092,0.10205994851326686,7.9,0.8387096774193543,6.0,2026-04-14T21:02:10.263846
73,0.7999999999999994,0.05280872756046737,7.2,0.8387096774193543,6.0,2026-04-14T21:02:11.525651
74,0.7967741935483865,0.04923979845959269,7.3,0.8387096774193543,6.0,2026-04-14T21:02:12.754096
75,0.7935483870967736,0.05280872756046738,7.4,0.8387096774193543,6.0,2026-04-14T21:02:14.023158
76,0.7941935483870962,0.05156852931198077,7.38,0.8387096774193543,6.0,2026-04-14T21:02:15.281232
77,0.7935483870967736,0.05734318978913279,7.4,0.8387096774193543,6.0,2026-04-14T21:02:16.533191
78,0.7916129032258058,0.05405897269293988,7.46,0.8387096774193543,6.0,2026-04-14T21:02:17.741660
79,0.788387096774193,0.04238469085330794,7.56,0.8387096774193543,6.0,2026-04-14T21:02:19.004784
80,0.8045161290322573,0.059274138687707714,7.06,0.8387096774193543,6.0,2026-04-14T21:02:20.240980
81,0.7954838709677413,0.05497516230392946,7.34,0.7419354838709673,9.0,2026-04-14T21:02:21.484002
82,0.780645161290322,0.058064516129032205,7.8,0.7741935483870963,8.0,2026-04-14T21:02:22.690954
83,0.7941935483870962,0.0495095614011604,7.38,0.7741935483870963,8.0,2026-04-14T21:02:23.950838
84,0.8064516129032253,0.053591121696245594,7.0,0.7741935483870963,8.0,2026-04-14T21:02:25.266100
85,0.7883870967741928,0.04703929324789205,7.56,0.7419354838709673,9.0,2026-04-14T21:02:26.507760
86,0.8103225806451607,0.05611049007782937,6.88,0.7419354838709673,9.0,2026-04-14T21:02:27.737413
87,0.8032258064516123,0.05171361142542382,7.1,0.8064516129032253,7.0,2026-04-14T21:02:29.016014
88,0.800645161290322,0.046384359917467546,7.18,0.8064516129032253,7.0,2026-04-14T21:02:30.327908
89,0.7941935483870961,0.06251409830584385,7.38,0.8064516129032253,7.0,2026-04-14T21:02:31.604785
90,0.7845161290322576,0.060328617948701674,7.68,0.8064516129032253,7.0,2026-04-14T21:02:32.912932
91,0.7754838709677414,0.05911592871718863,7.96,0.8064516129032253,7.0,2026-04-14T21:02:34.223274
92,0.7948387096774188,0.06411488128415398,7.36,0.7741935483870963,8.0,2026-04-14T21:02:35.441589
93,0.787096774193548,0.05080005080007616,7.6,0.7741935483870963,8.0,2026-04-14T21:02:36.662943
94,0.7935483870967736,0.05877699083318898,7.4,0.8064516129032253,7.0,2026-04-14T21:02:37.933585
95,0.7877419354838705,0.05916167727737802,7.58,0.7741935483870963,8.0,2026-04-14T21:02:39.152709
96,0.7974193548387091,0.04609179638578512,7.28,0.7741935483870963,8.0,2026-04-14T21:02:40.526723
97,0.7967741935483866,0.06329489313015667,7.3,0.8064516129032253,7.0,2026-04-14T21:02:41.835654
98,0.7754838709677414,0.06947401613404797,7.96,0.8064516129032253,7.0,2026-04-14T21:02:43.066176
99,0.7832258064516122,0.05551387035948112,7.72,0.8064516129032253,7.0,2026-04-14T21:02:44.405528
100,0.779354838709677,0.06200265175088492,7.84,0.8064516129032253,7.0,2026-04-14T21:02:45.746566
101,0.78516129032258,0.05646912170873269,7.66,0.8064516129032253,7.0,2026-04-14T21:02:47.000859
102,0.788387096774193,0.04962292780136618,7.56,0.8064516129032253,7.0,2026-04-14T21:02:48.273478
103,0.7922580645161286,0.04834837160050369,7.44,0.8064516129032253,7.0,2026-04-14T21:02:49.474105
104,0.78516129032258,0.06936909080869794,7.66,0.8387096774193543,6.0,2026-04-14T21:02:50.648860
105,0.7819354838709671,0.06002427535284127,7.76,0.8387096774193543,6.0,2026-04-14T21:02:52.053849
106,0.8058064516129027,0.04976113599554489,7.02,0.8387096774193543,6.0,2026-04-14T21:02:53.294253
107,0.7909677419354832,0.05250836115967945,7.48,0.8387096774193543,6.0,2026-04-14T21:02:54.752504
108,0.8025806451612897,0.04406031246184221,7.12,0.8709677419354833,5.0,2026-04-14T21:02:56.177131
109,0.7864516129032252,0.05909128020666004,7.62,0.8709677419354833,5.0,2026-04-14T21:02:57.417457
110,0.8025806451612897,0.05900316575573505,7.12,0.9032258064516123,4.0,2026-04-14T21:02:58.734545
111,0.794838709677419,0.05271405991178187,7.36,0.9032258064516123,4.0,2026-04-14T21:03:00.011888
112,0.8019354838709671,0.04997814298545625,7.14,0.8709677419354833,5.0,2026-04-14T21:03:01.277887
113,0.7858064516129027,0.05974625498214304,7.64,0.8064516129032253,7.0,2026-04-14T21:03:02.467040
114,0.7980645161290316,0.04989479045415558,7.26,0.8064516129032253,7.0,2026-04-14T21:03:03.714289
115,0.7999999999999994,0.05549887269059754,7.2,0.8064516129032253,7.0,2026-04-14T21:03:04.975741
116,0.8038709677419348,0.054682890581721474,7.08,0.8709677419354833,5.0,2026-04-14T21:03:06.230454
117,0.7980645161290317,0.05505082317417243,7.26,0.8709677419354833,5.0,2026-04-14T21:03:07.460806
118,0.7961290322580638,0.05640643353392097,7.32,0.8064516129032253,7.0,2026-04-14T21:03:08.685273
119,0.8064516129032252,0.0442300296800067,7.0,0.8064516129032253,7.0,2026-04-14T21:03:09.962609
120,0.7961290322580641,0.051386600649651254,7.32,0.8387096774193543,6.0,2026-04-14T21:03:11.234229
121,0.7935483870967737,0.054743750801539114,7.4,0.8387096774193543,6.0,2026-04-14T21:03:12.510729
122,0.7896774193548382,0.09789458961750008,7.52,0.8387096774193543,6.0,2026-04-14T21:03:13.738835
123,0.7845161290322576,0.06624772982190155,7.68,0.8387096774193543,6.0,2026-04-14T21:03:14.979747
124,0.7916129032258058,0.06393610233742725,7.46,0.8064516129032253,7.0,2026-04-14T21:03:16.242636
125,0.7993548387096768,0.05132581445986783,7.22,0.8387096774193543,6.0,2026-04-14T21:03:17.616880
126,0.7961290322580641,0.05453044286223334,7.32,0.8387096774193543,6.0,2026-04-14T21:03:18.865170
127,0.7922580645161286,0.05480454343637492,7.44,0.8387096774193543,6.0,2026-04-14T21:03:20.150326
128,0.7877419354838703,0.05701196544545897,7.58,0.8387096774193543,6.0,2026-04-14T21:03:21.638742
129,0.8006451612903218,0.04942541864592203,7.18,0.7419354838709673,9.0,2026-04-14T21:03:22.896117
130,0.7909677419354835,0.05368424274248955,7.48,0.8064516129032253,7.0,2026-04-14T21:03:24.155581
131,0.7903225806451607,0.053299069812446094,7.5,0.8064516129032253,7.0,2026-04-14T21:03:25.448861
132,0.7916129032258058,0.06328173957782632,7.46,0.8064516129032253,7.0,2026-04-14T21:03:26.886581
133,0.7961290322580639,0.05750265794879271,7.32,0.8387096774193543,6.0,2026-04-14T21:03:28.118964
134,0.7922580645161283,0.04569272570226002,7.44,0.8387096774193543,6.0,2026-04-14T21:03:29.429602
135,0.7877419354838703,0.05916167727737802,7.58,0.8064516129032253,7.0,2026-04-14T21:03:30.772102
136,0.7799999999999995,0.05866712389062829,7.82,0.7741935483870963,8.0,2026-04-14T21:03:32.009404
137,0.7922580645161283,0.04238469085330794,7.44,0.7741935483870963,8.0,2026-04-14T21:03:33.222546
138,0.7903225806451607,0.05596565023515309,7.5,0.7741935483870963,8.0,2026-04-14T21:03:34.463374
139,0.7845161290322575,0.05528847815646072,7.68,0.8064516129032253,7.0,2026-04-14T21:03:35.691315
140,0.7954838709677413,0.050227370642972655,7.34,0.8064516129032253,7.0,2026-04-14T21:03:36.944464
141,0.8045161290322577,0.053750105873138186,7.06,0.8064516129032253,7.0,2026-04-14T21:03:38.173720
142,0.7870967741935477,0.0706738783877633,7.6,0.8064516129032253,7.0,2026-04-14T21:03:39.425543
143,0.8012903225806446,0.05925658066170334,7.16,0.7741935483870963,8.0,2026-04-14T21:03:40.644289
144,0.7967741935483866,0.054457880697206834,7.3,0.7741935483870963,8.0,2026-04-14T21:03:41.905352
145,0.7980645161290316,0.056173508518813475,7.26,0.7741935483870963,8.0,2026-04-14T21:03:43.150212
146,0.7935483870967736,0.05201456611805511,7.4,0.7741935483870963,8.0,2026-04-14T21:03:44.375153
147,0.800645161290322,0.10029924010198882,7.18,0.7741935483870963,8.0,2026-04-14T21:03:45.643376
148,0.7858064516129026,0.062136769692049,7.64,0.7741935483870963,8.0,2026-04-14T21:03:46.877457
149,0.799354838709677,0.047972416632313,7.22,0.8387096774193543,6.0,2026-04-14T21:03:48.104256
150,0.800645161290322,0.04900253768195671,7.18,0.7741935483870963,8.0,2026-04-14T21:03:49.305099
151,0.8096774193548382,0.05290715957050551,6.9,0.7741935483870963,8.0,2026-04-14T21:03:50.537448
152,0.7987096774193543,0.05102895466654237,7.24,0.8387096774193543,6.0,2026-04-14T21:03:51.781026
153,0.8116129032258058,0.050123676385948425,6.84,0.8387096774193543,6.0,2026-04-14T21:03:53.048222
154,0.7935483870967738,0.05877699083318897,7.4,0.7741935483870963,8.0,2026-04-14T21:03:54.242035
155,0.7922580645161283,0.050865557017876144,7.44,0.8387096774193543,6.0,2026-04-14T21:03:55.518784
